species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id|genus|family|myFert3|myFert5|myFertGen|myHeavyMet|myPlantAtRange|myPlantAtRarity|myRarityCombined|myEBergL|myEBergF|myEBergR|myEBergN|myEBergS|myPlantAtNativeStatus|myPlantAtConservationStatus|myPlantAtChangeIndex|myPlantAtHeight|myPlantAtLen|myPlantAtPern1|myPlantAtPern2|myPlantAtLife1|myPlantAtLife2|myPlantAtWood|myPlantAtClone1|myPlantAtClone2|myPlantAtMajorBiome|myPlantAtEastLim|myPlantAtCont|myPlantAtTjan|myPlantAtTjul|myPlantAtPrecip|myLocalRarity
satureja_montana|||||||5|||||||||||||||||||||||||||||||||5|||||||0.9||||||||||||||||||||||||||||||||whorl||||||||||5.55|||||||||||||||||4|||||||||||||||||pink-purple|||||||||||||||||1|||||||||||||||2||||||||||||0.366||||||||||||||||||||||1510250050|satureja||||||||||||||||||||||||||||||||
saussurea_alpina|cuneate|1641||||both|0|Europe, North America||||C3|patch-forming||||||7|54||-0.51||||||||||||||9||||5||||petiolate, sessile|9||0.5|||0|1197||insect|native|Hemicryptophyte|||<45||8|No|3||Not continental||autotrophic|self-supporting|45||||||5.33|chamaephyte|Mt.Snowdon||6|capitulum|6|17|12.0|none||0|||||7.83|||||stolons|hermaphrodite|||Shortly creeping stolons in illuminated medium|Present|||||simple|5|1-3 times as long as wide|||||||none|||glabrous, soft hairs|||soft hairs||No|purple||||||||>65|62|8||||height > width||10-100|1|||||infertile|||4||||toothed||0|2|pointed|does not kill insects|||||46|||none|2010.0|||1.6|||non-woody|||||||protandrous|||Arctic Montane||||scattered||Eurasian|1691140070|saussurea|compositae|outcrossing|outcrossing|generally cross|none|258.0|n|n|8.0|6.0|6.0|3.0|0.0|N||-0.51|45.0||p||hc||h|Stol1||1|5||1.6|11.9|2010.0|scattered
saxifraga_aizoides|cuneate|1670||||both|5|Europe, North America||||C3|patch-forming||||||5|26||-0.61||||||||||||||65|||transient|5||||sessile|9||0.45|||0|1173||insect|native|Chamaephyte|||<45||8|No|2||Not continental||autotrophic|decumbent|20||||||4.73|chamaephyte|Ingleborough|0|6|cyme|9|21|12.0|none||0|||||7.64||||||hermaphrodite|||Extensively creeping and rooting at nodes|Present|||||simple|10|>3 times as long as wide|||||||none|||glabrous, stiff hairs, thick cuticle|||||No|yellow||||||||60-65|79|6||||height < width||0.1-1|2||||soft hairs|fertile, infertile, very infertile|||||||entire||0|2|pointed|does not kill insects|||||||evergreen|none|1799.0|0.05||1.7|||non-woody|||||||markedly protandrous|||Arctic Montane||||frequent||European|730010350|saxifraga||outcrossing|outcrossing|generally cross|none|439.0|n|n|8.0|9.0|6.0|2.0|0.0|N||-0.61|20.0||p||Ch||h|Node2||1|3||1.7|12.3|1799.0|frequent
saxifraga_cernua|cordate, cuneate|1794|||||5|Asia, Europe, North America||||C3|||||||3|50, 64|||||||||0.3||||||vegetative|||<1|transient|5||||petiolate, sessile|7||1.2|||0|1215||none|native|Hemicryptophyte|||<45||6|No|1||Not continental||autotrophic|self-supporting|15||||||6.38|hemicryptophyte|Ben Lawers, Scotland||7|solitary|6|13|12.0|developmental||915|||||7.45|||||bulbils|androdioecious, hermaphrodite||viviparous|Detaching ramets above ground, often axillary|Rare|||||simple|10|1-3 times as long as wide, length = width|||||Vulnerable||none|||subglabrous|||||No|white||Detaching ramets on inflorescence||||||60-65||7||||height > width||0.1-1|2|||||infertile, very infertile||217|1||||entire, lobed||0|2|pointed|does not kill insects||||||||none|2265.0|||0.5|||non-woody|||||||markedly protandrous, protogynous|||Arctic Montane||||scattered||Circumpolar|730010920|saxifraga|||||none|5.0|r|r|6.0|6.0|7.0|1.0|0.0|N|VU||15.0||p||hc||h|DRa|DRi|1|6||0.5|11.7|2265.0|scattered
saxifraga_cespitosa|cuneate|1800|||||5|Asia, Europe, North America||2-5 yrs|none|C3|patch-forming||||||4|80||-0.1|||||||||water, wind|2|||seed||polycarpic|||5||||petiolate|7||0.45|||0|1350||insect|native|Chamaephyte||sheltered|<45||7|No|1|regular|Not continental||autotrophic|self-supporting|10||||summer||4.46|chamaephyte|Lake Idwell, Carnarvonshire||7|cyme|5|8|11.0|developmental||610|||||7.21||||||hermaphrodite|epigeal|cross or automatic self|Little or no vegetative spread|Rare|||||simple|10|1-3 times as long as wide|||||Vulnerable||none|||glandular hairs|||glandular hairs||No|white|autumn, spring|||||||55-60||5||||height = width|none|0.1-1|2|||||very infertile|||||||entire, lobed|||2|pointed|does not kill insects|||||||evergreen|none|2003.0|0.0941||-0.4|||non-woody||adventitious|||||homogamous, weakly protogynous|||Arctic Montane|free-draining|||||Circumpolar|730010680|saxifraga||mixed|mixed|mixed|none|13.0|r|r|7.0|5.0|7.0|1.0|0.0|N|VU|-0.1|10.0||p||Ch||h|0||1|6||-0.4|10.7|2003.0|
saxifraga_cuneifolia|||||||5|||||||||||||||||||||||||||||||||5|||||||0.375|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||10|||||||||||||||||white|||||||||||||||||2|||||||||||||||2||||||||||||0.0334||||||||||||||||||||||730010150|saxifraga||||||||||||||||||||||||||||||||
saxifraga_cymbalaria|||||||5|||||||||||||||||||||||||||||||||5|||||||0.4||||||||||||||||||||||||||||||||cyme|||||||||||||||||||||||||||10|||||||||||||||||yellow|||||||||||||||||2|||||||||||||||2||||||||||||||||||||||||||||||||||730010030|saxifraga||||||||||||||||||||||||||||||||
saxifraga_rosacea|cuneate|1796|||<1||5|Europe||2-5 yrs|none|C3|patch-forming|6, nan|5.5||some non-viable||4|c. 46, c. 48, c. 64||||||||||cleistogamy not recorded|water, wind||neutral||seed||polycarpic|||5||||petiolate|8||0.7|||0, 0, nan|1065||insect|native|Chamaephyte|7.55|sheltered|<45||7, 8, nan|Yes|2, 4, nan|regular|Not continental||autotrophic|self-supporting|20||||summer||0.8|chamaephyte|Cwm Idwell, Wales||6, 8, nan|cyme|4, 4, nan|8|14.0|developmental||0|||||8.1||||||hermaphrodite|epigeal|normally cross|Little or no vegetative spread|Apparently Extinct|172||||simple|10|1-3 times as long as wide|||||Extinct in the Wild||none|||glandular hairs, soft hairs|||glandular||No|white|autumn, spring|||||||55-60||6||||height = width|none|0.1-1|2|||||infertile, very infertile|||||||entire, lobed|||2|pointed|does not kill insects|||||0||evergreen|none|1312.0|0.0568||4.4||6, 7|non-woody||adventitious|||||markedly protandrous|||Boreal montane|free-draining|||||Suboceanic|730010700|saxifraga||mixed|normally cross|generally cross|none|33.0|x|x|7.0|4.0|8.0|4.0|0.0|N|EW||20.0||p||Ch||h|0||4|2||4.4|14.3|1312.0|
saxifraga_hirsuta|cordate|1806|||||5|Europe||||C3|||||||12|28||1.39||||||||||||||||<1||5||||petiolate|7||0.4|||0|914||insect|native|Hemicryptophyte|||<45||6|Yes|2||Not continental||autotrophic|self-supporting|30||||||4.77|hemicryptophyte|Co. Kerry, Ireland|100|5|panicle|7|3|15.0|none||0|||||5.45||||||hermaphrodite|||Shortly creeping stolons in illuminated medium|o|||||simple|10|length = width|||||||none|||soft hairs, thick cuticle|||||No|white||||||||50-55||5||||height > width||1-10|2||||glandular hairs|very infertile|||||||crenate||20|2|rounded|does not kill insects|||||0|||deep, mid|1334.0|0.0876||5.0|||non-woody||||||||||Temperate||||||Oceanic|730010100|saxifraga|||||none|36.0|o|o|6.0|7.0|5.0|2.0|0.0|N||1.39|30.0||p||hc||h|Stol1||7|1||5.0|14.6|1334.0|
saxifraga_granulata|cordate, cuneate|1568|||||5|Africa, Europe||||C3||6, 6|||||10|46-60|3744|-0.26||||||2|0.217, 0.381||wind||||seed and vegetative|||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5||||petiolate|6||1.25|||0, 0, 0|548|100-1000|insect|native|Hemicryptophyte|||||7, 8, nan|No|3, 4, 4||Not continental|0.5|autotrophic|self-supporting|50||||||3.27|hemicryptophyte|||5, 5, 6|cyme|4, 4, 5|21|15.0|none||0||||1.35, 2.29, 3.55, 4.76|3.28||||622.2|bulbils|gynodioecious, hermaphrodite|||Detaching ramets above ground, often axillary|Present|600||||simple|10|length = width|||||||none|||glandular hairs, soft hairs|kidney ailments||||No Data|white|autumn||||1000-10000|||||4||||height > width||1-10|2||||glandular|infertile, very infertile|||0.5|||110|toothed|||2|rounded|does not kill insects|||||0|||light, none|853.0|0.02, 0.04||3.1|||non-woody||||63|||markedly protandrous|||Temperate|free-draining|||||European|730010860|saxifraga||outcrossing|outcrossing|generally cross|none|981.0|n|n|8.0|5.0|6.0|4.0|0.0|N||-0.26|36.0||p||hc||h|DRa||7|3||3.1|15.1|853.0|
saxifraga_hirculus|cuneate|1724|||||5|Asia, Europe, North America||||C3|||||||10|32||-0.3||||||||||||||||<1||5||||petiolate|8||1.25|||0|640||insect|native|Hemicryptophyte|||<45||8|Yes|2||Not continental||autotrophic|self-supporting|20||||||2.59|hemicryptophyte|Cheshire||6|solitary|9|15|13.0|none|||||||5.22|||||bulbils|gynodioecious, gynomonoecious, hermaphrodite|||Rhizome shortly creeping|Rare|||||simple|10|>3 times as long as wide|||||Vulnerable||none||||||||No|yellow||||||||50-55||8||||height = width||0.1-1|2||||soft hairs|infertile, very infertile|||||||entire||10, 40|2|rounded|does not kill insects||||||||none|1253.0|0.01||2.4|||non-woody|||||||markedly protandrous|||Boreo-Arctic Montane||||scattered||Circumpolar|730010220|saxifraga||outcrossing|outcrossing|generally cross|none|36.0|r|r|8.0|9.0|6.0|2.0|0.0|N|VU|-0.3|20.0||p||hc||h|Rhiz1||2|6||2.4|13.2|1253.0|scattered
saxifraga_hypnoides|cuneate|1640|||<1||5|Europe||2-5 yrs|none|C3|patch-forming||5.25||||5|26, 48, 52, c. 30||-0.54||||||||cleistogamy not recorded|water, wind||||seed||polycarpic|||5||||petiolate|7||0.7|||0|1341||insect|native|Chamaephyte|7.55||<45||7|No|3|regular|Not continental||autotrophic|self-supporting|20||||summer||4.9|chamaephyte|Lancashire||6|cyme|5|7|13.0|developmental||0|||||5.88|||||rooting stems|hermaphrodite|epigeal|normally cross|Extensively creeping and rooting at nodes|Present|||||simple|10|1-3 times as long as wide, >3 times as long as wide|||long-day||||none|||soft hairs|||glabrous||No|red|autumn, spring||||||5.6|60-65||5||||height < width|none|0.1-1|2|||||infertile, very infertile|||||||entire, lobed|||2|pointed|does not kill insects|||6.4||200||evergreen|light|1697.0|0.04||2.0||6, 7|non-woody||adventitious|||||markedly protandrous|||Boreal montane|free-draining|||frequent||Oceanic|730010710|saxifraga||mixed|normally cross|generally cross|none|467.0|n|n|7.0|5.0|6.0|3.0|0.0|N||-0.54|20.0||p||Ch||h|Node2||4|1||2.0|12.8|1697.0|frequent
saxifraga_nivalis|cuneate|1641|||||5|Asia, Europe, North America|||none|C3|||||||3|60||-0.5||||||||||||||||<1||5|stable|||petiolate|8||0.35|||0|1125, 1310||insect|native|Hemicryptophyte|||<45||6|No|3||Not continental||autotrophic|self-supporting|15||||||4.21|hemicryptophyte|Mt. Snowdon|15|7|cluster|6|10|11.5|none||365, 365|||||7.58|43|||||hermaphrodite|||Little or no vegetative spread|Scarce|||||simple|10|1-3 times as long as wide, length = width|||||||none|||glabrous, glandular hairs|||||No|white||||||||>65||7||||height = width||1-10|2|||||infertile, very infertile|||||||crenate, toothed||5|2|rounded|does not kill insects|||||||evergreen|none|2099.0|0.04||0.6|||non-woody|||||||weakly protandrous, weakly protogynous|||Arctic Montane||||scattered||Circumpolar|730010020|saxifraga|||||none|73.0|s|s|6.0|6.0|7.0|3.0|0.0|N||-0.5|15.0||p||hc||h|0||1|6||0.6|11.5|2099.0|scattered
saxifraga_oppositifolia|cuneate|1677|||||5|Asia, Europe, North America|||none|C3|patch-forming|2, 2|6||||2|26|84|-0.45|||continuous|||3||cleistogamy not recorded|water, wind||increases||seed and vegetative||polycarpic||seedbank present, type uncertain, transient|5||||sessile|9||0.8|||0, 0, 0|1213|100-1000|insect|native|Chamaephyte|7.8|exposed|<45||8, 8, 9|No|2, 2, 2||Not continental|1.1|autotrophic|procumbent|5||||summer||5.04|chamaephyte|Ingleborough|0|8, 8, 8|solitary|5, 5, 6|22|12.0|none||0|||||7.6|||none|33|rooting stems|gynodioecious, hermaphrodite|epigeal|cross or automatic self|Extensively creeping and rooting at nodes|Present|274||||simple|10|1-3 times as long as wide, length = width|||||||none|||glabrous, soft hairs||very resistant|glabrous||No|purple||||||||>65||2||||height < width|none|0.1-1|2||||glabrous|very infertile|||1.1||||entire||0|2|rounded|does not kill insects|||||366||evergreen|light, none|1980.0|0.11, 0.13||1.8||2, 3, 4|non-woody||adventitious||5|||homogamous, protandrous, protogynous|||Arctic Montane|free-draining|glabrous||frequent||Circumpolar|730010930|saxifraga||mixed|mixed|mixed|none|298.0|n|n|8.0|6.0|8.0|2.0|0.0|N||-0.45|3.0||p||Ch||h|Node2||1|6||1.8|12.1|1980.0|frequent
saxifraga_paniculata|||||||5|||||||3, 4||||||||||||||3||||||||||||5|||||||0.45|||0, 0||||||||||7, 7||2, 2||||||||||||||||8, 8||3, 3||||||||||||||||||||||||||10|||||||||||||||||white|||||||||||||18.3||||2|||||||||||||||2||||||||||||0.53||||||||||||||||||||||730010490|saxifraga||||||||||||||||||||||||||||||||
saxifraga_rivularis|cordate|1792|||||5|Asia, Europe, North America|||none|C3|||||||2|52||0.19||||||||||||||||<1||5||||petiolate|8||0.4|||0|1219||insect|native|Hemicryptophyte|||<45||6|Yes|2||Not continental||autotrophic|self-supporting|8||||||4.2|hemicryptophyte|Ben Nevis||5|2|9|8|11.0|none||914|||||8.4|||||stolons|hermaphrodite||cross and self|Rhizome shortly creeping|Rare|||||simple|10|length = width, shorter than broad|||||||none|||subglabrous|||||No|white||Detaching ramets above ground, often axillary||||||50-55||7||||height = width||0.1-1|2|||||infertile, very infertile|||||||lobed|||2|pointed|does not kill insects||||||||none|1941.0|376||-0.3|||non-woody|||||||weakly protogynous|||Arctic Montane||||||Circumpolar|730010910|saxifraga||mixed|mixed|mixed|none|21.0|r|r|6.0|9.0|5.0|2.0|0.0|N||0.19|10.0||p||hc||h|Rhiz1|DRa|1|6||-0.3|10.8|1941.0|
saxifraga_rotundifolia|||||||5|||||||3, 4||||||||||||||4||||||||||||5|||||||0.85|||0, 0||||||||||5, 5||6, 6||||||||||||||||8, 8||6, 6||||||||||||||||||||||||||10|||||||||||||||||white|||||||||||||||||2|||||||||||||||2||||||||||||0.035||||||||||||||||||||||7564|saxifraga||||||||||||||||||||||||||||||||
saxifraga_spathularis|cuneate||||||5|Europe||||C3|||||||8|28||||||||||||||||||<1||5||||petiolate|8||0.4|||0|1040||insect|native|Hemicryptophyte|||<45||6|No|2||Not continental||autotrophic|self-supporting|40||||||7.7|hemicryptophyte|||3|panicle|8|3|14.0|none|||||||1.6||||||hermaphrodite|||Shortly creeping stolons in illuminated medium|o|||||simple|10|1-3 times as long as wide, length = width|||||||none|Chamaephyte||glabrous|||||No|white||||||||>65||6||||height > width|||2|||||infertile, very infertile|||||||toothed|||2|pointed|does not kill insects|||||||evergreen|light, none|1328.0|0.6133929||4.7|||non-woody||||||||||Temperate||||||Hyperoceanic|730010080|saxifraga|||||none|137.0|o|o|6.0|8.0|3.0|2.0|0.0|N|||40.0||p||hc|Ch|h|Stol1||7|0||4.7|14.4|1328.0|
saxifraga_stellaris|cuneate|1641||||both|5|Europe, North America||||C3|patch-forming|||||||28||-0.58||||||||||||||16||||5||||petiolate|8||0.5|||0|1343|10-100|insect|native|Hemicryptophyte|||55-60||8|No|3||Not continental||autotrophic|self-supporting|20||||||4.96|chamaephyte, hemicryptophyte|Mt. Snowdon||5|panicle|8|20|12.0|none||91|||||6.89||||||hermaphrodite||normally cross|Little or no vegetative spread|Present|160||||simple|10|1-3 times as long as wide|||||||none|Chamaephyte||soft hairs|||||Yes|white||||||||>65|5|6|||20|height = width||1-10|2||||hairy|infertile, very infertile|||||||toothed|||2|pointed|does not kill insects||||||||none|1811.0|0.0278||1.8|||non-woody|||||||homogamous, protandrous, protogynous|||Arctic Montane||||frequent||European|730010050|saxifraga||mixed|normally cross|generally cross|none|501.0|n|n|8.0|8.0|5.0|3.0|0.0|N||-0.58|20.0||p||hc|Ch|h|0||1|3||1.8|12.3|1811.0|frequent
saxifraga_stolonifera|||||||5|||||||||||||||||||||||||||||||||5|||||||0.4|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||10|||||||||||||||||white|||||||||||||||||2|||||||||||||||2||||||||||||||||||||||||||||||||||920007565|saxifraga||||||||||||||||||||||||||||||||
saxifraga_tridactylites|cuneate|1597|absolute||||5|Asia, Europe||24-52 weeks|none|C3|no ramets|6, 6|||||2|22|40|-0.12||||||2|||wind||||seed|||<1|short-term persistent, transient|5|declining|||petiolate|6||0.25|||0, 0, 0|731|100-1000|selfed|native|Therophyte|||<45||7, 8, 9|No|1, 2, 3||Not continental|0.5|autotrophic|self-supporting|15||7||spring, summer||4.55|therophyte|London||7, 7, 7|cyme|2, 2, 2|30|15.0|developmental||0|||15||2.5|||partial|40|none|hermaphrodite|epigeal|normally self|Little or no vegetative spread|Present|287||||simple|10|1-3 times as long as wide|||day-neutral|25|||none|||glandular hairs|||glandular hairs||No|white|autumn||||1000-10000|||>65||4||||height = width|absolute|0.1-1|2|||||infertile, very infertile|||0.5||||entire, lobed|||2|rounded|does not kill insects|||||0||hibernal|none|921.0|0.01, 0.01||3.9|||non-woody||||40|||entirely protandrous, weakly protogynous|||Southern Temperate||||scattered||European|730010270|saxifraga||mixed|normally self|generally self|none|1312.0|n|n|7.0|2.0|7.0|2.0|0.0|N||-0.12|10.0||a||Th||h|0||8|3||3.9|15.3|921.0|scattered
saxifraga_umbrosa|||||||5|||||||||||||||||||||||||||||||||5|||||||0.35||||||||||||||||||||||||||||||||panicle|||||||||||||||||||||||||||10|||||||||||||||||white|||||||||||||||||2|||||||||||||||2||||||||||||||||||||||||||||||||||730010170|saxifraga||||||||||||||||||||||||||||||||
saxifraga_x_geum=s_umbrosa_x_s_hirsuta|||||||5|||||||||||||||||||||||||||||||||5|||||||0.4|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||10|||||||||||||||||white|||||||||||||||||2|||||||||||||||2||||||||||||||||||||||||||||||||||920004324|saxifraga||||||||||||||||||||||||||||||||
saxifraga_x_polita=s_spathularis_x_s_hirsuta|||||||5|||||||||||||||||||||||||||||||||5|||||||0.4||||||||||||||||||||||||||||||||panicle|||||||||||||||||||||||||||10|||||||||||||||||white|||||||||||||||||2|||||||||||||||2||||||||||||||||||||||||||||||||||920001834|saxifraga||||||||||||||||||||||||||||||||
saxifraga_x_urbium=s_umbrosa_x_s_spathularis|cuneate||||||5|||||C3|||||||8|28||||||||||||||||||<1||5|increasing|||petiolate|||0.45||||||none|naturalised||||||||||||autotrophic|self-supporting|40||||||5.24|hemicryptophyte||||panicle||||none|||||||4.26||||||hermaphrodite|||||||||simple|10|1-3 times as long as wide, length = width|||||||none|||||||||white||||||||||6||||height > width||1-10|2||||||||||||toothed|||2|pointed|does not kill insects|Europe||||||||||||||non-woody|||||||||||||||||730010130|saxifraga|||||none|||||||||||||||||||||||||||
scabiosa_atropurpurea|||||||5|||||||||||||||||||||||||||||||||4|||||||||||||||||||||||||||||||||||||||capitulum|||||||||||||||||||||||||||4|||||||||||||||||dark purple|||||||||||||||||1|||||||||||||||2||||||||||||2.5||||||||||||||||||||||1670080230|scabiosa||||||||||||||||||||||||||||||||
scabiosa_columbaria|not applicable|1629|absolute|deep|||5|Africa, Asia, Europe||||C3||5, 5|||||15|16|133|-0.71||||||2|||wind||||seed||facultatively polycarpic|<1|seedbank present, type uncertain, short-term persistent, transient|4|declining|||petiolate|8||||1.13|0, 0, 0|609|10-100|insect|native|Hemicryptophyte|||<45||8, 8, 8|No|2, 3, 3||Not continental||autotrophic|self-supporting|70||||autumn, summer, winter||4.09|hemicryptophyte|Rochester, Kent||8, 8, 8|capitulum|3, 3, 3|21|16.0|developmental||0|6-12|||2.3|2.27||||50|branching root stock|gynodioecious, gynomonoecious, hermaphrodite|epigeal||Little or no vegetative spread|Present||||present|compound, simple|4|1-3 times as long as wide, >3 times as long as wide|10-50||||||pseudometallophyte||0.18|soft hairs, subglabrous|||hairy||No|blue-lilac|autumn, spring||||100-1000|||>65||7|||70|height > width|partial|1-10|1||||soft hairs|infertile|||2.6||||lobed and toothed|||2|pointed, rounded|does not kill insects|||||0||evergreen|none|831.0|1.3, 1.9, 2.1042||3.5|||non-woody||tap root||4|||weakly protandrous||1.26|Temperate||||frequent||European|1670080380|scabiosa||||||804.0|n|n|8.0|3.0|8.0|2.0|0.0|N||-0.71|70.0||p||hc||h|0||7|3||3.5|15.6|831.0|frequent
succisa_pratensis|cuneate|1568|none|shallow||both|5|Africa, Europe||2-5 yrs|none|C3||5, 5|3.9||||15|20|2200|-0.57|||continuous|||3|||unspecialised||||seed|79|polycarpic|<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|4|declining, declining|||petiolate|10|none|0.55|10-20|0.76|0, 0, 0|969||insect|native|Hemicryptophyte|8|||resists|7, 7, 7|No|2, 2, 3||Not continental||autotrophic|self-supporting|100||12||autumn, summer|4.94|4.64|hemicryptophyte|||5, 5x, nan|capitulum|7, 7, 7|26|14.0|none||0||||5.5|4.1|||none|302|rhizomes|gynodioecious|epigeal|normally cross|Little or no vegetative spread|Present||<1|||simple|4|1-3 times as long as wide||||31|||none||0.109|hairy|bruises, rheumatism, scurvy, sore throat, wounds|resistant|hairy, subglabrous||No Data|mauve|autumn, spring, summer, winter|Rhizome shortly creeping|||100-1000||5||222|6|6.74||107|height > width|partial|10-100|1|||3.86|soft hairs|infertile|||4.5||8.22|1260|entire|||1|pointed|does not kill insects|North America||6.98||0||evergreen|light, none|1124.0|1.54, 1.6||3.5|||non-woody||adventitious, tap root||3|||entirely protandrous||0.76|Temperate||||frequent||Euro-Siberian|1670040010|succisa||mixed|normally cross|generally cross|none|3569.0|n|n|7.0|7.0|5.0|2.0|0.0|N||-0.57|100.0||p||hc||h|0|Rhiz1|7|4||3.5|14.4|1124.0|frequent
scandix_pecten_veneris|not applicable|1562|||||5|Africa, Asia, Europe|||none|C3|no ramets|7, 7|||||15|26|728|-3.65||||||3|||||||seed|||<1|seedbank present, type uncertain, transient|5|declining|||petiolate|7||0.05|||0, 0, 0|320||insect|native|Therophyte|||<45||7, 7, 8|No|4, 4, 4||Not continental|50|autotrophic|self-supporting|50||||||3.3|therophyte|||7, 8, 8|umbel|3, 3, 4|27|16.0|none||0|||||1.83|131|3-12 months||416.5|none|andromonoecious||normally self|Little or no vegetative spread||||||compound|5|1-3 times as long as wide|||||||none|||glabrous, hairy|toothache||hairy||No|white|autumn, autumn, spring, winter|||||||>65||4|||30|height > width|||2|||||fertile|||||||lobed and toothed|||1|pointed|does not kill insects|Africa, Australasia, North America, South America||||0|||none|792.0|17.7||3.8|||non-woody||||32|||homogamous, weakly protandrous|||Southern Temperate|slow-draining|||scattered||Euro-Siberian|1290140030|scandix||mixed|normally self|generally self|none|880.0|||7.0|4.0|7.0|4.0|0.0|AR||-3.65|50.0||a||Th||h|0||8|4||3.8|15.7|792.0|scattered
