year,reference,family,genus,species,m.d.g,latitude,hemisphere,biome,growth,life.history,si,mean.tm,References
2010,"Jun Rong1, Stef Janson, Mikihisa Umehara, Michiyuki Ono and Klaas Vrieling. 2010. Historical and contemporary gene dispersal in wild carrot (Daucus carota_carota) populations.Annals of Botany 106: 285_296.",Apiaceae,Daucus,carota_carota,D,52.39,N,,1,3,,0.963,
2010,"Jun Rong1, Stef Janson, Mikihisa Umehara, Michiyuki Ono and Klaas Vrieling. 2010. Historical and contemporary gene dispersal in wild carrot (Daucus carota_carota) populations.Annals of Botany 106: 285_296.",Apiaceae,Daucus,carota_carota,D,52.39,N,,1,3,,0.963,
2006,Yamashiro and Maki 2006. A comparative study of the reproductive character and genetic diversity of an autogamous Tylophora matsumurae and its progenitor. PLANT SYSTEMATICS AND EVOLUTION 256 (1_4): 55_67  Tylophora tanakae (Apocynaceae_Asclepiadoideae),Apocynaceae,Tylophora,tanakae,D,29.73,N,,1,4,,0.375,Yamashiro and Maki 2006. A comparative study of the reproductive character and genetic diversity of an autogamous Tylophora matsumurae and its progenitor. PLANT SYSTEMATICS AND EVOLUTION 256 (1_4): 55_67  Tylophora tanakae (Apocynaceae_Asclepiadoideae)
2006,Mantovani et al. 2006. Internal genetic structure and outcrossing rate in a natural population of Araucaria angustifolia (Bert.) O. Kuntze. JOURNAL OF HEREDITY 97 (5): 466_472 ,Araucariaceae,Araucaria,angustifolia,G,22.75,S,,4,4,,0.956,Mantovani et al. 2006. Internal genetic structure and outcrossing rate in a natural population of Araucaria angustifolia (Bert.) O. Kuntze. JOURNAL OF HEREDITY 97 (5): 466_472 
1992,"Eguiarte LE, Perez_Nasser N, D. Pi_ero. 1992. Genetic structure, outcrossing rate and heterosis in Astrocaryum mexicanum (tropical palm): implications for evolution and conservation. Heredity 69: 217_228",Arecaceae,Astrocaryum,mexicanum,M,18.58,N,8,1,4,1,0.998,"Eguiarte LE, Perez_Nasser N, D. Pi_ero. 1992. Genetic structure, outcrossing rate and heterosis in Astrocaryum mexicanum (tropical palm): implications for evolution and conservation. Heredity 69: 217_228"
2012,Goncalves et al. 2012,Arecaceae,Butia,eriospatha,M,27.27,S,8,4,4,1,0.961,
2008,Conte et al. 2008,Arecaceae,Euterpe,edulis,M,27.05,S,8,4,4,1,0.998,
2003,"Gaiotto, F. A., D. Grattapaglia, and R. Vencovsky. 2003. Genetic structure, mating system, and long_distance gene flow in heart of palm (Euterpe edulis Mart.). Journal of Heredity 94:399_406.",Arecaceae,Euterpe,edulis,M,15.84,S,7,4,4,1,0.94,"Gaiotto, F. A., D. Grattapaglia, and R. Vencovsky. 2003. Genetic structure, mating system, and long_distance gene flow in heart of palm (Euterpe edulis Mart.). Journal of Heredity 94:399_406."
2008,Jannice Friedman and Spencer C. H. Barrett. 2008.  High Outcrossing in the Annual Colonizing Species Ambrosia artemisiifolia (Asteraceae). Annals of Botany 101: 1303_1309.,Asteraceae,Ambrosia,artemisiifolia,D,44.05,N,6,1,1,0,0.95,
2008,Jannice Friedman and Spencer C. H. Barrett. 2008.  High Outcrossing in the Annual Colonizing Species Ambrosia artemisiifolia (Asteraceae). Annals of Botany 101: 1303_1309.,Asteraceae,Ambrosia,artemisiifolia,D,44.05,N,,1,1,0,0.95,
,Bayer et al. unpubl,Asteraceae,Antennaria,media,D,,N,,1,4,,0.729,Bayer et al. unpubl
1990,"Sun M, FR Ganders. 1990. Outcrossing rates and allozyme variation in rayed and rayless morphs of Bidens pilosa. Heredity 64: 139_143",Asteraceae,Bidens,pilosa,D,19.57,N,7,1,1,1,0.062,"Sun M, FR Ganders. 1990. Outcrossing rates and allozyme variation in rayed and rayless morphs of Bidens pilosa. Heredity 64: 139_143"
2004,DeWoody et al. 2004. Inferring demographic processes from the genetic structure of a metapopulation of Boltonia decurrens (Asteraceae).CONSERVATION GENETICS 5 (5): 603_617 ,Asteraceae,Boltonia,decurrens,D,39.95,N,2,1,4,,0.923,DeWoody et al. 2004. Inferring demographic processes from the genetic structure of a metapopulation of Boltonia decurrens (Asteraceae).CONSERVATION GENETICS 5 (5): 603_617 
2004,"Ferrer, M. M., L. E. Eguiarte, and C. Montana. 2004. Genetic structure and outcrossing rates in Flourensia cernua (Asteraceae) growing at different densities in the South_western Chihuahuan Desert. Annals of Botany 94:419_426.",Asteraceae,Flourensia,cernua,D,26.67,N,1,3,4,0,0.99,"Ferrer, M. M., L. E. Eguiarte, and C. Montana. 2004. Genetic structure and outcrossing rates in Flourensia cernua (Asteraceae) growing at different densities in the South_western Chihuahuan Desert. Annals of Botany 94:419_426."
1978,"Ellstrand NC, Torres AM, DA Levin. 1978. Density and the rate of apparent outcrossing in Helianthus annuus (Asteraceae). Syst Bot 3:403_407",Asteraceae,Helianthus,annuus,D,38.78,N,6,1,1,0,0.748,"Ellstrand NC, Torres AM, DA Levin. 1978. Density and the rate of apparent outcrossing in Helianthus annuus (Asteraceae). Syst Bot 3:403_407"
1995,"Godt MJW, JL Hamrick. 1995. The mating system of Liatris helleri (Asteraceae), a threatened plant species. Heredity 75:398_404",Asteraceae,Liatris,helleri,D,35.76,N,6,1,4,0,0.97,"Godt MJW, JL Hamrick. 1995. The mating system of Liatris helleri (Asteraceae), a threatened plant species. Heredity 75:398_404"
1993,"Michalakis Y, Derancourt F, No_l V, C Espiau. 1993. A first estimation of the mating system of Onopordum illyricum (L.) and its relevance to the invasion of Australia. Acta Oecologica 14:539_545",Asteraceae,Onopordum,illyricum,D,34.6,S,6,1,3,1,0.568,"Michalakis Y, Derancourt F, No_l V, C Espiau. 1993. A first estimation of the mating system of Onopordum illyricum (L.) and its relevance to the invasion of Australia. Acta Oecologica 14:539_545"
1993,"Abbott RJ, DG Forbes. 1993. Outcrossing rate and self_incompatibility in the colonizing species Senecio squalidus. Heredity 71:155_159",Asteraceae,Senecio,squalidus,D,55.85,N,6,1,4,0,0.93,"Abbott RJ, DG Forbes. 1993. Outcrossing rate and self_incompatibility in the colonizing species Senecio squalidus.. Heredity 71:155_159"
1982,"Marshall DF, RJ Abbott. 1982. Polymorphism for outcrossing frequency at the ray floret locus in Senecio vulgaris LI Evidence. Heredity 48:227_235",Asteraceae,Senecio,vulgaris,D,55.98,N,6,1,1,1,0.055,"Marshall DF, RJ Abbott. 1982. Polymorphism for outcrossing frequency at the ray floret locus in Senecio vulgaris LI Evidence. Heredity 48:227_235"
1995,"Damgaard, C., and R. J. Abbott. 1995. Positive correlations between selfing rate and pollen_ovule ratio within plant populations. Evolution 49:214_217.",Asteraceae,Senecio,vulgaris,D,53.28,N,6,1,1,1,0.21,"Damgaard, C., and R. J. Abbott. 1995. Positive correlations between selfing rate and pollen_ovule ratio within plant populations. Evolution 49:214_217."
1995,"Hetz E, Liersch R, O Schieder. 1995. Genetic Investigations on Silybum marianum and S. eburneum with respect to leaf colour, outcrossing ratio, and flavonolignan composition. Planta Medica 61:54_57.",Asteraceae,Silybum,marianum,D,,S,3,1,2,0,0.02,"Hetz E, Liersch R, O Schieder. 1995. Genetic Investigations on Silybum marianum and S. eburneum with respect to leaf colour, outcrossing ratio, and flavonolignan composition. Planta Medica 61:54_57."
1988,"Innes, D. J., and L. A. Hermanutz. 1988. The mating system and genetic_structure in a disjunct population of the seaside goldenrod Solidago sempervirens L (Asteraceae). Heredity 61:447_454.",Asteraceae,Solidago,sempervirens,D,42.32,N,6,1,4,0,0.935,"Innes, D. J., and L. A. Hermanutz. 1988. The mating system and genetic_structure in a disjunct population of the seaside goldenrod Solidago sempervirens L (Asteraceae). Heredity 61:447_454."
2010,CrawfordETAL 2010,Asteraceae,Tolpis,lacniata,D,29.04,N,3,1,4,0,0.866,
2003,Dinelli et al. 2003. Genetic structure and mating system of Italian Xanthium strumarium complex. Weed Science 51:69_77.,Asteraceae,Xanthium,strumarium_italicum,D,45.17,N,3,1,1,1,0.17,Dinelli et al. 2003. Genetic structure and mating system of Italian Xanthium strumarium complex. Weed Science 51:69_77.
1978,"Moran GF, DR Marshall. 1978. Allozyme uniformity within and variation between races of the colonizing species Xanthium strumarium L. (Noogora burr). Austr J Biol Sci 31:283_291.",Asteraceae,Xanthium,strumarium_italicum,D,32.25,S,6,1,1,1,0.11,"Moran GF, DR Marshall. 1978. Allozyme uniformity within and variation between races of the colonizing species Xanthium strumarium L. (Noogora burr). Austr J Biol Sci 31:283_291."
2003,Dinelli et al. 2003. Genetic structure and mating system of Italian Xanthium strumarium complex. Weed Science 51:69_77.,Asteraceae,Xanthium,strumarium_orientale,D,38.81,N,3,1,1,1,0.07,Dinelli et al. 2003. Genetic structure and mating system of Italian Xanthium strumarium complex. Weed Science 51:69_77.
2003,Dinelli et al. 2003. Genetic structure and mating system of Italian Xanthium strumarium complex. Weed Science 51:69_77.,Asteraceae,Xanthium,strumarium_strumarium,D,43.61,N,3,1,1,1,0.17,Dinelli et al. 2003. Genetic structure and mating system of Italian Xanthium strumarium complex. Weed Science 51:69_77.
1987,"Bousquet J, Cheliak WM, M Lalonde. 1987. Allozyme variability in natural populations of green alder (Alnus crispa) in Quebec. Genome 29:345_352",Betulaceae,Alnus,crispa,D,48,N,,4,4,,0.951,"Bousquet J, Cheliak WM, M Lalonde. 1987. Allozyme variability in natural populations of green alder (Alnus crispa) in Quebec. Genome 29:345_352"
2012,"James M. Jones and J. Phil Gibson. 2012. Mating System Analysis of Alnus maritima (Seaside Alder), a Rare Riparian Tree. Castanea, 77(1):11_20.  Published By: Southern Appalachian Botanical",Betulaceae,Alnus,maritima,D,34.16,N,6,4,4,,0.94,
2002,"Xie C_Y, El_Kassaby YA, CC Ying. 2002. Genetics of red alder (Alnus rubra Bong.) populations in British Columbia and its implications for gene resources management. New Forests 24:97_112.",Betulaceae,Alnus,rubra,D,51.02,N,6,4,4,,0.85,"Xie C_Y, El_Kassaby YA, CC Ying. 2002. Genetics of red alder (Alnus rubra Bong.) populations in British Columbia and its implications for gene resources management. New Forests 24:97_112."
2009,"Kentaro Uchiyama, Susumu Goto, Yuji Ide. 2009. Effects of population density on male and female reproductive success in the wind_pollinated, wind_dispersed tree species Betula maximowicziana. Conserv Genet 10:1265_1275.",Betulaceae,Betula,maximowicziana,D,43.33,N,6,4,4,,0.995,
2005,Bianchi et al. 2005. A study of the mating system in Dolichandra cynanchoides (Bignoniaceae): an Argentinian Chaco woodlands liane with a late_acting self_incompatibility. PLANT SYSTEMATICS AND EVOLUTION 251 (2_4): 173_181 ,Bignoniaceae,Dolichandra,cynanchoides,D,29.5,S,5,2,4,0,0.88,Bianchi et al. 2005. A study of the mating system in Dolichandra cynanchoides (Bignoniaceae): an Argentinian Chaco woodlands liane with a late_acting self_incompatibility. PLANT SYSTEMATICS AND EVOLUTION 251 (2_4): 173_181 
2012,"J. M. Feres,  A. M. Sebbenn,  M. C. Guidugli, M. A. Mestriner,  M. L. T. Moraes, A. L. Alzate_Marin. 2012. Mating system parameters at hierarchical levels of fruits, individuals and populations in the Brazilian insect_pollinated tropical tree, Tabebuia roseo_alba (Bignoniaceae). Conserv Genet 13:393_405.",Bignoniaceae,Tabebuia,roseo_alba,D,20.65,S,7,4,4,,0.9015,
2012,"J. M. Feres,  A. M. Sebbenn,  M. C. Guidugli, M. A. Mestriner,  M. L. T. Moraes, A. L. Alzate_Marin. 2012. Mating system parameters at hierarchical levels of fruits, individuals and populations in the Brazilian insect_pollinated tropical tree, Tabebuia roseo_alba (Bignoniaceae). Conserv Genet 13:393_405.",Bignoniaceae,Tabebuia,roseo_alba,D,20.65,S,5,4,4,,0.9015,
1986,"Burdon, J. J., and A. H. D. Brown. 1986. Population genetics of Echium plantagineum L. - Target weed for biological control. Australian Journal of Biological Science 39:369_378.",Boraginaceae,Echium,plantagineum,D,,,,1,1,1,0.73,"Burdon, J. J., and A. H. D. Brown. 1986. Population genetics of Echium plantagineum L. - Target weed for biological control. Australian Journal of Biological Science 39:369_378."
1988,"Burdon, J. J., A. M. Jarosz, and A. H. D. Brown. 1988. Temporal patterns of reproduction and outcrossing in weedy populations of Echium plantagineum. Biological Journal of the Linnean Society 34:81_92.",Boraginaceae,Echium,plantagineum,D,35.3,S,,1,1,1,0.938333333,"Burdon, J. J., A. M. Jarosz, and A. H. D. Brown. 1988. Temporal patterns of reproduction and outcrossing in weedy populations of Echium plantagineum. Biological Journal of the Linnean Society 34:81_92."
2011,"A. Tedder, S. W. Ansell, X. Lao, J. C. Vogel and B. K. Mable. 2011. Sporophytic self_incompatibility genes and mating system variation in Arabis alpina. Annals of Botany 108: 699_713.",Brassicaceae,Arabis,alpina,D,43.4,N,,1,4,0,0.56,
2011,"Karina Vanessa, Hmeljevski, Ademir Reis, Tiago Montagna, Maur__cio Sedrez dos Reis. 2011. Genetic diversity, genetic drift and mixed mating system in small subpopulations of Dyckia ibiramensis, a rare endemic bromeliad from Southern Brazil. Conserv Genet 12:761_769.",Bromeliaceae,Dyckia,ibiramensis,M,27.083,S,8,1,4,,0.743,
2006,Cascante_Marin et al. 2006. Reproductive strategies and colonizing ability of two sympatric epiphytic bromeliads in a tropical premontane area. INTERNATIONAL JOURNAL OF PLANT SCIENCES 167 (6): 1187_1195 ,Bromeliaceae,Guzmania,monostachia,M,10.28,N,8,1,4,1,0.007,Cascante_Marin et al. 2006. Reproductive strategies and colonizing ability of two sympatric epiphytic bromeliads in a tropical premontane area. INTERNATIONAL JOURNAL OF PLANT SCIENCES 167 (6): 1187_1195 
2006,Cascante_Marin et al. 2006. Reproductive strategies and colonizing ability of two sympatric epiphytic bromeliads in a tropical premontane area. INTERNATIONAL JOURNAL OF PLANT SCIENCES 167 (6): 1187_1196,Bromeliaceae,Tillandsia,fasciculata,M,10.28,N,8,1,4,1,0.028,Cascante_Marin et al. 2006. Reproductive strategies and colonizing ability of two sympatric epiphytic bromeliads in a tropical premontane area. INTERNATIONAL JOURNAL OF PLANT SCIENCES 167 (6): 1187_1196
2008,MuchugiETAL2008,Canellaceae,Warburgia,ugandensis,D,0.12,N,7,4,4,,0.89,
1997,"Sakai, A. K., S. G. Weller, M. L. Chen, S. Y. Chou, and C. Tasanont. 1997. Evolution of gynodioecy and maintenance of females: The role of inbreeding depression, outcrossing rates, and resource allocation in Schiedea adamantis (Caryophyllaceae). Evolution 51:724_736.",Caryophyllaceae,Schiedea,adamantis,D,21.03,N,,3,4,1,0.54893,"Sakai, A. K., S. G. Weller, M. L. Chen, S. Y. Chou, and C. Tasanont. 1997. Evolution of gynodioecy and maintenance of females: The role of inbreeding depression, outcrossing rates, and resource allocation in Schiedea adamantis (Caryophyllaceae). Evolution 51:724_736."
1997,"Norman, J. K., S. G. Weller, and A. K. Sakai. 1997. Pollination biology and outcrossing rates in hermaphroditic Schiedea lydgatei (Caryophyllaceae). American Journal of Botany 84:641_648.",Caryophyllaceae,Schiedea,lydgatei,D,21.17,N,,3,4,1,0.781,"Norman, J. K., S. G. Weller, and A. K. Sakai. 1997. Pollination biology and outcrossing rates in hermaphroditic Schiedea lydgatei (Caryophyllaceae). American Journal of Botany 84:641_648."
1999,"Culley, T. M., S. G. Weller, A. K. Sakai, and A. E. Rankin. 1999. Inbreeding depression and selfing rates in a self_compatible, hermaphroditic species, Schiedea membranacea (Caryophyllaceae). American Journal of Botany 86:980_987.",Caryophyllaceae,Schiedea,membranacea,D,22.14,N,8,1,4,1,0.829,"Culley, T. M., S. G. Weller, A. K. Sakai, and A. E. Rankin. 1999. Inbreeding depression and selfing rates in a self_compatible, hermaphroditic species, Schiedea membranacea (Caryophyllaceae). American Journal of Botany 86:980_987."
2002,"Rankin, A. E., S. G. Weller, and A. K. Sakai. 2002. Mating system instability in Schiedea menziesii (Caryophyllaceae). Evolution 56:1574_1585.",Caryophyllaceae,Schiedea,vicosa,D,20.8,N,8,2,4,1,0,"Rankin, A. E., S. G. Weller, and A. K. Sakai. 2002. Mating system instability in Schiedea menziesii (Caryophyllaceae). Evolution 56:1574_1585."
1994,"Purdy BG, Bayer RJ, SE MacDonald. 1994. Genetic variation, breeding system evolution, and conservation of the narrow sand dune endemic Stellaria arenicola and the widespread S. longipes (Caryphyllaceae). Am. J. Bot. 81: 904_911",Caryophyllaceae,Stellaria,arenicola,D,59.27,N,,1,4,1,0.667,"Purdy BG, Bayer RJ, SE MacDonald. 1994. Genetic variation, breeding system evolution, and conservation of the narrow sand dune endemic Stellaria arenicola and the widespread S. longipes (Caryphyllaceae). Am. J. Bot. 81: 904_911"
2006,Ramsey et al. 2006. Inbreeding avoidance and the evolution of gender dimorphism in Wurmbea biglandulosa (Colchicaceae). EVOLUTION 60 (3): 529_537 ,Colchicaceae,Wurmbea,biglandulosa,M,30.68,S,6,1,4,1,0.68,Ramsey et al. 2006. Inbreeding avoidance and the evolution of gender dimorphism in Wurmbea biglandulosa (Colchicaceae). EVOLUTION 60 (3): 529_537 
2006,Ramsey et al. 2006. Inbreeding avoidance and the evolution of gender dimorphism in Wurmbea biglandulosa (Colchicaceae). EVOLUTION 60 (3): 529_537 ,Colchicaceae,Wurmbea,biglandulosa,M,30.68,S,6,1,4,1,0.92,Ramsey et al. 2006. Inbreeding avoidance and the evolution of gender dimorphism in Wurmbea biglandulosa (Colchicaceae). EVOLUTION 60 (3): 529_537 
2006,Ramsey et al. 2006. Inbreeding avoidance and the evolution of gender dimorphism in Wurmbea biglandulosa (Colchicaceae). EVOLUTION 60 (3): 529_537 ,Colchicaceae,Wurmbea,biglandulosa,M,30.68,S,6,1,4,1,0.97,Ramsey et al. 2006. Inbreeding avoidance and the evolution of gender dimorphism in Wurmbea biglandulosa (Colchicaceae). EVOLUTION 60 (3): 529_537 
2006,Ramsey et al. 2006. Does inbreeding avoidance maintain gender dimorphism in Wurmbea dioica (Colchicaceae)? JOURNAL OF EVOLUTIONARY BIOLOGY 19 (5): 1497_1506 ,Colchicaceae,Wurmbea,dioica,M,37.5,S,6,1,3,,0.363,Ramsey et al. 2006. Does inbreeding avoidance maintain gender dimorphism in Wurmbea dioica (Colchicaceae)? JOURNAL OF EVOLUTIONARY BIOLOGY 19 (5): 1497_1506 
2006,Ramsey et al. 2006. Does inbreeding avoidance maintain gender dimorphism in Wurmbea dioica (Colchicaceae)? JOURNAL OF EVOLUTIONARY BIOLOGY 19 (5): 1497_1507,Colchicaceae,Wurmbea,dioica,M,37.5,S,6,1,3,,0.801,Ramsey et al. 2006. Does inbreeding avoidance maintain gender dimorphism in Wurmbea dioica (Colchicaceae)? JOURNAL OF EVOLUTIONARY BIOLOGY 19 (5): 1497_1507
1981,Ennos RA. 1981. Quantitative studies of the mating system in two sympatric species of Ipomoea (Convolvulaceae). Genetica 57:93_98,Convolvulaceae,Ipomoea,hederacea,D,,N,,2,4,1,0.0695,Ennos RA. 1981. Quantitative studies of the mating system in two sympatric species of Ipomoea (Convolvulaceae). Genetica 57:93_98
1981,Ennos RA. 1981. Quantitative studies of the mating system in two sympatric species of Ipomoea (Convolvulaceae). Genetica 57:93_98,Convolvulaceae,Ipomoea,purpurea,D,,N,,2,4,1,0.699,Ennos RA. 1981. Quantitative studies of the mating system in two sympatric species of Ipomoea (Convolvulaceae). Genetica 57:93_98
1991,"Lewandowski A., Burczyk J., L. Mejnartowicz. 1991. Genetic structure and the mating system in old stand of Polish larch. Silvae Genetica 40(2):75_79.",Cupressaceae,Larix,decidua,G,51.15,N,4,4,4,,0.943,"Lewandowski A., Burczyk J., L. Mejnartowicz. 1991. Genetic structure and the mating system in old stand of Polish larch. Silvae Genetica 40(2):75_79."
2000,"Lewandowski, A., and J. Burczyk. 2000. Mating system and genetic diversity in natural populations of European larch (Larix decidua) and stone pine (Pinus cembra) located at higher elevations. Silvae Genetica 49:158_161.",Cupressaceae,Larix,decidua,G,46.52,N,4,4,4,,0.675,"Lewandowski, A., and J. Burczyk. 2000. Mating system and genetic diversity in natural populations of European larch (Larix decidua) and stone pine (Pinus cembra) located at higher elevations. Silvae Genetica 49:158_161."
1999,"Lamy S, Bouchard A, J_P Simon. 1999. Genetic structure, variability, and mating system in eastern white cedar (Thuja occidentalis) populations of recent origin in an agricultural landscape in southern Quebec. Can J For Res 29:1383_1392",Cupressaceae,Thuja,occidentalis,G,45.08,N,4,4,4,,0.288,"Lamy S, Bouchard A, J_P Simon. 1999. Genetic structure, variability, and mating system in eastern white cedar (Thuja occidentalis) populations of recent origin in an agricultural landscape in southern Quebec. Can J For Res 29:1383_1392"
1991,"Xie CY, Dancik BP, FC Yeh. 1991. The mating system in natural populations of Thuja orientalis. Can J For Res 21:333_339. ",Cupressaceae,Thuja,orientalis,G,36.32,N,6,4,4,,0.63,"Xie CY, Dancik BP, FC Yeh. 1991. The mating system in natural populations of Thuja orientalis. Can J For Res 21:333_339. "
1991,"Xie CY, Dancik BP, FC Yeh. 1991. The mating system in natural populations of Thuja orientalis. Can J For Res 21:333_339. ",Cupressaceae,Thuja,orientalis,G,36.57,N,6,4,4,,0.75,"Xie CY, Dancik BP, FC Yeh. 1991. The mating system in natural populations of Thuja orientalis. Can J For Res 21:333_339. "
1994,"El_Kassaby Y, Russell JH, K Ritland. 1994. Mixed mating in an experimental population of western red cedar, Thuja plicata. J Hered 85:227_231",Cupressaceae,Thuja,plicata,G,48.58,N,4,4,4,1,0.32,"El_Kassaby Y, Russell JH, K Ritland. 1994. Mixed mating in an experimental population of western red cedar, Thuja plicata. J Hered 85:227_231"
2001,"O'Connell L, Viard F, K Ritland. 2001. The mating system in natural populations of western red cedar (Thuja plicata). Can. J. Bot. 79:753_756.",Cupressaceae,Thuja,plicata,G,49.38,N,4,4,4,1,0.715,"O'Connell L, Viard F, K Ritland. 2001. The mating system in natural populations of western red cedar (Thuja plicata). Can. J. Bot. 79:753_756."
2004,"O'Connell, L. M., J. Russell, and K. Ritland. 2004. Fine_scale estimation of outcrossing in western redcedar with microsatellite assay of bulked DNA. Heredity 93:443_449.",Cupressaceae,Thuja,plicata,G,49.38,N,4,4,4,1,0.731,"O'Connell, L. M., J. Russell, and K. Ritland. 2004. Fine_scale estimation of outcrossing in western redcedar with microsatellite assay of bulked DNA. Heredity 93:443_449."
2006,Naito et al. 2006. Selfing and inbreeding depression in seeds and seedlings of Neobalanocarpus heimii (Dipterocarpaceae). Journal of Plant Research 118:423_430,Dipterocarpaceae,Neobalanocarpus ,heimii,D,2.98,N,8,4,4,,0.877,Naito et al. 2006. Selfing and inbreeding depression in seeds and seedlings of Neobalanocarpus heimii (Dipterocarpaceae). Journal of Plant Research 118:423_430
2005,"Gamboa_Lapitan and Hyun 2005. Mating system of Parashorea malaanonan (M. Blanco) Merr. (Bagtikan) in Mt. Makiling, Laguna, Philippines. PHILIPPINE AGRICULTURAL SCIENTIST 88 (1): 109_121 ",Dipterocarpaceae,Parashorea,malaanonan,D,14.25,N,8,4,4,,0.965,"Gamboa_Lapitan and Hyun 2005. Mating system of Parashorea malaanonan (M. Blanco) Merr. (Bagtikan) in Mt. Makiling, Laguna, Philippines. PHILIPPINE AGRICULTURAL SCIENTIST 88 (1): 109_121 "
1994,"Murawski DA, Dayanandan B, KS Bawa. 1994. Outcrossing rates of two endemic Shorea species from Sri Lankan tropical rain forests. Biotropica 26(1): 23_29",Dipterocarpaceae,Shorea,congestiflora,D,6.38,N,8,4,4,0,0.874,"Murawski DA, Dayanandan B, KS Bawa. 1994. Outcrossing rates of two endemic Shorea species from Sri Lankan tropical rain forests. Biotropica 26(1): 23_29"
2002,"Obayashi, K., Y. Tsumura, T. Ihara_Ujino, K. Niiyama, H. Tanouchi, Y. Suyama, I. Washitani, C. T. Lee, S. L. Lee, and N. Muhammad. 2002. Genetic diversity and outcrossing rate between undisturbed and selectively logged forests of Shorea curtisii (Dipterocarpaceae) using microsatellite DNA analysis. International Journal of Plant Sciences 163:151_158.",Dipterocarpaceae,Shorea,curtisii,D,3.34,S,8,4,4,1,0.7425,"Obayashi, K., Y. Tsumura, T. Ihara_Ujino, K. Niiyama, H. Tanouchi, Y. Suyama, I. Washitani, C. T. Lee, S. L. Lee, and N. Muhammad. 2002. Genetic diversity and outcrossing rate between undisturbed and selectively logged forests of Shorea curtisii (Dipterocarpaceae) using microsatellite DNA analysis. International Journal of Plant Sciences 163:151_158."
2001,"Nagamitsu, T., S. Ichikawa, M. Ozawa, R. Shimamura, N. Kachi, Y. Tsumura, and N. Muhammad. 2001. Microsatellite analysis of the breeding system and seed dispersal in Shorea leprosula (Dipterocarpaceae). International Journal of Plant Sciences 162:155_159.",Dipterocarpaceae,Shorea,leprosula,D,2.97,S,8,4,4,,0.91,"Nagamitsu, T., S. Ichikawa, M. Ozawa, R. Shimamura, N. Kachi, Y. Tsumura, and N. Muhammad. 2001. Microsatellite analysis of the breeding system and seed dispersal in Shorea leprosula (Dipterocarpaceae). International Journal of Plant Sciences 162:155_159."
2007,Fukue et al. 2007. Effects of flowering tree density on the mating system and gene flow in Shorea leprosula (Dipterocarpaceae) in Peninsular Malaysia. JOURNAL OF PLANT RESEARCH 120 (3): 413_420  ,Dipterocarpaceae,Shorea,leprosula,D,10.17,N,8,4,4,,0.31,Fukue et al. 2007. Effects of flowering tree density on the mating system and gene flow in Shorea leprosula (Dipterocarpaceae) in Peninsular Malaysia. JOURNAL OF PLANT RESEARCH 120 (3): 413_420  
1994,"Murawski DA, Dayanandan B, KS Bawa. 1994. Outcrossing rates of two endemic Shorea species from Sri Lankan tropical rain forests. Biotropica 26(1): 23_29",Dipterocarpaceae,Shorea,trapezifolia,D,6.38,N,8,4,4,1,0.581,"Murawski DA, Dayanandan B, KS Bawa. 1994. Outcrossing rates of two endemic Shorea species from Sri Lankan tropical rain forests. Biotropica 26(1): 23_29"
1994,"Murawski D.A., K.S. Bawa. 1994. Genetic structure and mating system on Stemonoporus oblongifolius (Dipterocarapaceae) in Sri Lanka. Amer. J. Bot. 81:155_160.",Dipterocarpaceae,Stemonoporus,oblongifolius,D,6.8,N,8,4,4,1,0.844,"Murawski D.A., K.S. Bawa. 1994. Genetic structure and mating system on Stemonoporus oblongifolius (Dipterocarapaceae) in Sri Lanka. Amer. J. Bot. 81:155_160."
2011,"P. A. Butcher,  D. Bradbury, S. L. Krauss. 2011. Limited pollen_mediated dispersal and partial self_incompatibility in the rare ironstone endemic Tetratheca paynterae_paynterae increase the risks associated with habitat loss. Conserv Genet (2011) 12:1603_1618.",Elaeocarpaceae,Tetratheca,aphylla_aphylla,D,30.1,S,1,3,4,,1,
2011,"P. A. Butcher,  D. Bradbury, S. L. Krauss. 2011. Limited pollen_mediated dispersal and partial self_incompatibility in the rare ironstone endemic Tetratheca paynterae_paynterae increase the risks associated with habitat loss. Conserv Genet (2011) 12:1603_1618.",Elaeocarpaceae,Tetratheca,paynterae_cremnobata,D,30.1,S,1,3,4,,1.05,
2011,"P. A. Butcher,  D. Bradbury, S. L. Krauss. 2011. Limited pollen_mediated dispersal and partial self incompatibility in the rare ironstone endemic Tetratheca paynterae_paynterae increase the risks associated with habitat loss. Conserv Genet (2011) 12:1603_1618.",Elaeocarpaceae,Tetratheca,paynterae_paynterae,D,30.1,S,1,3,4,,0.9,
2006,Beland et al. 2006. Genetic structure and mating system of northern Arbutus menziesii (Ericaceae) populations. CANADIAN JOURNAL OF BOTANY_REVUE 83 (12): 1581_1589 ,Ericaceae,Arbutus,menziesii,D,48.8,N,3,4,4,0,0.97,Beland et al. 2006. Genetic structure and mating system of northern Arbutus menziesii (Ericaceae) populations. CANADIAN JOURNAL OF BOTANY_REVUE 83 (12): 1581_1589 
